CT,9
DE,10
IL,17
IN,18
IA,19
KS,20
ME,23
MD,24
MA,25
MI,26
MN,27
MO,29
NE,31
NH,33
NJ,34
NY,36
ND,38
OH,39
PA,42
RI,44
SD,46
VT,50
WV,54
WI,55
