"CN","LON","LAT"
"304207825489998",-74.863786,40.492276
"304207836489998",-74.921541,40.596079
"304207873489998",-74.800674,40.58584
"304207833489998",-74.85533,40.741279
"304208071489998",-74.753477,40.62007
"304207983489998",-74.997019,40.451598
"304208029489998",-74.823574,40.711012
"304207976489998",-74.877355,40.682038
"304207998489998",-74.947268,40.707553
"304208003489998",-74.931798,40.58432
"304208014489998",-74.893358,40.548204
"304208017489998",-74.929953,40.533227
"304208026489998",-75.052665,40.605202
"304207977489998",-75.167508,40.582724
"304207827489998",-74.79775,40.292849
"304207942489998",-74.538457,40.231815
"304207971489998",-74.791813,40.343653
"304207826489998",-74.763193,40.356313
"304207915489998",-74.654566,40.248325
"304208142489998",-74.598018,40.313483
"304208062489998",-74.558477,40.253531
"304208067489998",-74.563794,40.287032
"304208063489998",-74.70043,40.231222
"304208035489998",-74.676191,40.211774
"304208013489998",-74.777266,40.413267
"304208024489998",-74.736405,40.241384
"304207939489998",-74.421518,40.382408
"304207938489998",-74.383005,40.400738
"304207908489998",-74.318991,40.452502
"304207941489998",-74.604526,40.33207
"304207933489998",-74.307854,40.543499
"304207812489998",-74.468708,40.26125
"304208147489998",-74.281157,40.455902
"304208044489998",-74.324351,40.367824
"304208051489998",-74.338749,40.418127
"304208141489998",-74.282982,40.549583
"304208077489998",-74.460458,40.518642
"304208130489998",-74.523765,40.360122
"304207905489998",-74.065024,40.341847
"304207914489998",-74.336186,40.177392
"304207909489998",-74.215108,40.333562
"304207911489998",-74.323263,40.242959
"304207910489998",-74.261715,40.292366
"304207907489998",-74.202593,40.429526
"304207906489998",-74.098717,40.326861
"304207965489998",-74.056792,40.11005
"304207964489998",-74.159926,40.218124
"304207963489998",-74.036772,40.273535
"304207912489998",-74.217173,40.148573
"304207904489998",-74.173476,40.447809
"304208007489998",-73.927052,40.453118
"304208144489998",-73.963331,40.423851
"304208052489998",-74.059523,40.319917
"304208059489998",-74.065293,40.263468
"304208034489998",-74.068415,40.180569
"304208006489998",-74.154383,40.184549
"304208113489998",-74.150011,40.43394
"304208140489998",-74.234685,40.43418
"304208016489998",-74.207546,40.299541
"304208068489998",-74.320339,40.253975
"304208091489998",-74.189547,40.151709
"304208040489998",-74.543465,40.161095
"304207855489998",-74.517318,41.016011
"304207811489998",-74.471372,40.834785
"304207856489998",-74.45213,40.949448
"304207853489998",-74.416728,40.982457
"304207858489998",-74.61945,40.925323
"304207860489998",-74.63049,40.803706
"304207870489998",-74.759335,40.895127
"304207930489998",-74.448852,40.859061
"304207857489998",-74.561458,40.958575
"304208094489998",-74.367781,40.796179
"304208005489998",-74.368372,40.942732
"304208015489998",-74.485699,41.02523
