"Dry weight of merchantable bole for live trees (timber species at least 5 inches d.b.h.), in short tons, on forest land",dwmbfl
"Total dry weight of DWM (FWD, CWD and piles) in short tons, on forest land",tdwdwmallfl
"Average annual harvest removals of live trees (at least 5 inches d.b.h./d.r.c.), in cubic feet, on forest land",aahrfl
"Carbon in stumps, coarse roots, and coarse woody debris, in short tons, on forest land",cscrcwdfl
"Average annual mortality of sawtimber trees, in board feet (International 1/4-inch rule), on timberland",aamsttl
"Carbon in FWD (small) pieces, in short tons, on forest land",cfwdspfl
"Dry weight of stumps for live trees (timber species at least 5 inches d.b.h.), in short tons, on timberland",dwstl
"Area of timberland, in acres",atl
"Net volume of growing-stock trees (at least 5 inches d.b.h.), in cubic feet, on forest land",nvgsfl
"Number of standing-dead trees (at least 5 inches d.b.h./d.r.c.), in trees, on timberland",nsdtl
"Total volume of FWD (medium) pieces, in cubic feet, on forest land",tvfwdmpfl
"Number of growing-stock trees (at least 5 inches d.b.h.), in trees, on timberland",ngstl
"Number of live tress (at least 1 inch d.b.h./d.r.c.), in trees, on forest land",nltfl
"Net volume of standing-dead trees (at least 5 inches d.b.h./d.r.c.), in cubic feet, on timberland",nvsdtl
"Average annual harvest removals of sawtimber trees, in board feet (International 1/4-inch rule), on forest land",aahrswfl
"Aboveground dry weight of live saplings (timber species at least 1 and less than 5 inches d.b.h.), in short tons, on forest land",agdwlsfl
"Carbon in stumps, coarse roots, and coarse woody debris, in short tons, on timberland",cscrcwdtl
"Number of growing-stock trees (at least 5 inches d.b.h.), in trees, on forest land",ngsfl
"Average annual net growth of sawtimber trees, in board feet (International 1/4-inch rule), on forest land",aagstfl
"Net volume of sawtimber trees, in board feet (International 1/4-inch rule), on timberland",nvsttl
"Net volume of saw-log portion of sawtimber trees, in cubic feet, on timberland",nvslptl
"Aboveground dry weight of live trees (at least 1 inch d.b.h./d.r.c), in short tons, on timberland calculated with retired regional methods",agdwtlrrm
"Total volume of DWM piles, in cubic feet, on forest land",tvdwmpfl
"Dry weight of DWM piles, in short tons, on forest land",dwdwmpfl
"Forest carbon pool 4: litter, in metric tonnes, on forest land",fcp4lfl
"Belowground carbon in live seedlings, shrubs, and bushes, in short tons, on timberland",bgclssbtl
"Area of sampled land and water, in acres",aslw
"Average annual mortality of sawtimber trees, in board feet (International 1/4-inch rule), on forest land",aamstfl
"Dry weight of FWD (medium) pieces, in short tons, on forest land",dwfwdmpfl
"Net volume of live trees (at least 5 inches d.b.h./d.r.c.), in cubic feet, on timberland",nvlttl
"Belowground dry weight of live trees (at least 1 inch d.b.h./d.r.c), in short tons, on timberland",bgdwtl
"Dry weight of merchantable bole for live trees (timber species at least 5 inches d.b.h.), in short tons, on timberland",dwmbtl
"Average annual other removals of sawtimber trees, in board feet (International 1/4-inch rule), on forest land",aaorstfl
"Number of live seedlings (less than 1 inch d.b.h./d.r.c.), in seedlings, on forest land",nlsfl
"Sound volume of live trees (at least 5 inches d.b.h./d.r.c.), in cubic feet, on forest land",svltfl
Area change - area forest land both measurements from remeasured plots,ac-aflbrp
"Average annual other removals of sawtimber trees, in board feet (International 1/4-inch rule), on timberland",aaorsttl
"Carbon in FWD (large) pieces, in short tons, on forest land",cfwdlpfl
"Aboveground green weight of live trees (at least 1 inch d.b.h./d.r.c.), in short tons, on forest land",aggwfl
"Average annual net growth of live trees (at least 5 inches d.b.h./d.r.c.), in cubic feet, on forest land",aangfl
"Number of live trees (at least 1 inch d.b.h./d.r.c.), in trees, on timberland",nlttl
"Total volume of FWD (small) pieces, in cubic feet, on forest land",tvfwdspfl
"Aboveground carbon in live trees (at least 1 inch d.b.h./d.r.c), in short tons, on forest land",agcfl
"Average annual mortality of trees (at least 5 inches d.b.h./d.r.c.), in cubic feet, on forest land",aamcffl
"Average annual mortality of trees (at least 5 inches d.b.h./d.r.c.), in trees, on timberland",aamtl
"Net volume of growing-stock trees (at least 5 inches d.b.h.), in cubic feet, on timberland",nvgstl
"Dry weight of CWD, in short tons, on forest land",dwcwdfl
"Aboveground carbon in live seedlings, shrubs, and bushes, in short tons, on timberland",agclssbtl
"Average annual removals of growing-stock trees (at least 5 inches d.b.h.), in cubic feet, on timberland",aargstl
"Aboveground dry weight of live trees (woodland species at least 1 inch d.r.c.), in short tons, on forest land",agdwfl
"Aboveground dry weight of live trees (at least 1 inch d.b.h./d.r.c), in short tons, on forest land",agdwfl
"Above and belowground carbon in standing-dead trees (at least 1 inch d.b.h./d.r.c), in short tons, on timberland",agbgcsdtl
"Average annual net growth of growing-stock trees (at least 5 inches d.b.h.), in cubic feet, on timberland",aanggstl
"Forest carbon pool 2: live belowground, in metric tonnes, on forest land",fcp2lbgfl
"Aboveground merchantable dry weight of live trees (at least 5 inches d.b.h./d.r.c), in short tons, on forest land calculated with retired regional methods",agmdwfl
