OBJECTID,CN,DESIGNATIO
1,247061823010661.000000000000000,NJ Pinelands Comprehensive Management Plan
2,247061838010661.000000000000000,NJ Pinelands Comprehensive Management Plan
3,247061835010661.000000000000000,NJ Pinelands Comprehensive Management Plan
4,247061799010661.000000000000000,NJ Pinelands Comprehensive Management Plan
5,247061810010661.000000000000000,NJ Pinelands Comprehensive Management Plan
6,247061822010661.000000000000000,NJ Pinelands Comprehensive Management Plan
7,247061834010661.000000000000000,NJ Pinelands Comprehensive Management Plan
8,247061809010661.000000000000000,NJ Pinelands Comprehensive Management Plan
9,247061836010661.000000000000000,NJ Pinelands Comprehensive Management Plan
10,247061832010661.000000000000000,NJ Pinelands Comprehensive Management Plan
11,247061831010661.000000000000000,NJ Pinelands Comprehensive Management Plan
12,247061819010661.000000000000000,NJ Pinelands Comprehensive Management Plan
13,247061797010661.000000000000000,NJ Pinelands Comprehensive Management Plan
14,247061794010661.000000000000000,NJ Pinelands Comprehensive Management Plan
15,247061702010661.000000000000000,NJ Pinelands Comprehensive Management Plan
16,247061820010661.000000000000000,NJ Pinelands Comprehensive Management Plan
17,247061795010661.000000000000000,NJ Pinelands Comprehensive Management Plan
18,247061833010661.000000000000000,NJ Pinelands Comprehensive Management Plan
19,247061828010661.000000000000000,NJ Pinelands Comprehensive Management Plan
20,247061793010661.000000000000000,NJ Pinelands Comprehensive Management Plan
21,247061852010661.000000000000000,NJ Pinelands Comprehensive Management Plan
22,247061821010661.000000000000000,NJ Pinelands Comprehensive Management Plan
23,247061798010661.000000000000000,NJ Pinelands Comprehensive Management Plan
24,247061689010661.000000000000000,NJ Pinelands Comprehensive Management Plan
25,247061853010661.000000000000000,NJ Pinelands Comprehensive Management Plan
26,247061842010661.000000000000000,NJ Pinelands Comprehensive Management Plan
27,247061840010661.000000000000000,NJ Pinelands Comprehensive Management Plan
28,247061811010661.000000000000000,NJ Pinelands Comprehensive Management Plan
29,247061841010661.000000000000000,NJ Pinelands Comprehensive Management Plan
30,247061851010661.000000000000000,NJ Pinelands Comprehensive Management Plan
31,247061706010661.000000000000000,NJ Pinelands Comprehensive Management Plan
32,247061827010661.000000000000000,NJ Pinelands Comprehensive Management Plan
33,247061849010661.000000000000000,NJ Pinelands Comprehensive Management Plan
34,247061829010661.000000000000000,NJ Pinelands Comprehensive Management Plan
35,247061825010661.000000000000000,NJ Pinelands Comprehensive Management Plan
36,247061826010661.000000000000000,NJ Pinelands Comprehensive Management Plan
37,247061818010661.000000000000000,NJ Pinelands Comprehensive Management Plan
38,247061701010661.000000000000000,NJ Pinelands Comprehensive Management Plan
39,247061712010661.000000000000000,NJ Pinelands Comprehensive Management Plan
40,247061830010661.000000000000000,NJ Pinelands Comprehensive Management Plan
41,14524465020004.000000000000000,NJ Pinelands Comprehensive Management Plan
42,14524466020004.000000000000000,NJ Pinelands Comprehensive Management Plan
43,14524326020004.000000000000000,NJ Pinelands Comprehensive Management Plan
44,14524325020004.000000000000000,NJ Pinelands Comprehensive Management Plan
45,14524404020004.000000000000000,NJ Pinelands Comprehensive Management Plan
46,14524321020004.000000000000000,NJ Pinelands Comprehensive Management Plan
47,14524316020004.000000000000000,NJ Pinelands Comprehensive Management Plan
48,14524433020004.000000000000000,NJ Pinelands Comprehensive Management Plan
49,14524403020004.000000000000000,NJ Pinelands Comprehensive Management Plan
50,14524478020004.000000000000000,NJ Pinelands Comprehensive Management Plan
51,14524416020004.000000000000000,NJ Pinelands Comprehensive Management Plan
52,14524414020004.000000000000000,NJ Pinelands Comprehensive Management Plan
53,14524324020004.000000000000000,NJ Pinelands Comprehensive Management Plan
54,14524315020004.000000000000000,NJ Pinelands Comprehensive Management Plan
55,14524463020004.000000000000000,NJ Pinelands Comprehensive Management Plan
56,14524438020004.000000000000000,NJ Pinelands Comprehensive Management Plan
57,14524462020004.000000000000000,NJ Pinelands Comprehensive Management Plan
58,14524412020004.000000000000000,NJ Pinelands Comprehensive Management Plan
59,14524458020004.000000000000000,NJ Pinelands Comprehensive Management Plan
60,14524460020004.000000000000000,NJ Pinelands Comprehensive Management Plan
61,14524461020004.000000000000000,NJ Pinelands Comprehensive Management Plan
62,14524464020004.000000000000000,NJ Pinelands Comprehensive Management Plan
63,14524437020004.000000000000000,NJ Pinelands Comprehensive Management Plan
64,14524459020004.000000000000000,NJ Pinelands Comprehensive Management Plan
65,14524439020004.000000000000000,NJ Pinelands Comprehensive Management Plan
66,14524441020004.000000000000000,NJ Pinelands Comprehensive Management Plan
67,14524406020004.000000000000000,NJ Pinelands Comprehensive Management Plan
68,14524409020004.000000000000000,NJ Pinelands Comprehensive Management Plan
69,14524407020004.000000000000000,NJ Pinelands Comprehensive Management Plan
70,14524405020004.000000000000000,NJ Pinelands Comprehensive Management Plan
71,14524418020004.000000000000000,NJ Pinelands Comprehensive Management Plan
72,14524457020004.000000000000000,NJ Pinelands Comprehensive Management Plan
73,14524328020004.000000000000000,NJ Pinelands Comprehensive Management Plan
74,14524455020004.000000000000000,NJ Pinelands Comprehensive Management Plan
75,14524477020004.000000000000000,NJ Pinelands Comprehensive Management Plan
76,14524314020004.000000000000000,NJ Pinelands Comprehensive Management Plan
77,14524410020004.000000000000000,NJ Pinelands Comprehensive Management Plan
78,14524411020004.000000000000000,NJ Pinelands Comprehensive Management Plan
