"CN","LON","LAT"
"247061711010661",-74.933702,39.481698
"247061823010661",-74.728398,39.542213
"247061838010661",-74.614412,39.440573
"247061835010661",-74.436966,39.467548
"247061839010661",-74.672864,39.379584
"247061799010661",-74.812938,39.632433
"247061837010661",-74.457933,39.349913
"247061810010661",-74.833552,39.395315
"247061822010661",-74.690598,39.604891
"247061834010661",-74.52807,39.505537
"247061809010661",-74.871674,39.566238
"247061836010661",-74.428664,39.432592
"247061832010661",-74.369786,39.483299
"247061803010661",-74.11085,40.996244
"247061801010661",-73.970826,40.996898
"247061804010661",-74.223483,41.111951
"247061806010661",-74.114579,40.796548
"247061802010661",-73.980495,40.93475
"247061824010661",-74.054658,40.860384
"247061831010661",-74.461711,39.655051
"247061792010661",-74.711954,40.062851
"247061819010661",-74.551643,39.819855
"247061710010661",-74.767546,39.987901
"247061797010661",-74.808599,39.87437
"247061794010661",-74.709288,39.80941
"247061702010661",-74.584798,39.96063
"247061791010661",-74.668383,40.143457
"247061820010661",-74.571052,39.749039
"247061795010661",-74.829533,39.903665
"247061833010661",-74.496204,39.572179
"247061828010661",-74.393937,39.722497
"247061796010661",-74.946716,39.995509
"247061793010661",-74.648155,39.909698
"247061852010661",-74.852332,39.85413
"247061790010661",-74.562779,40.080605
"247061821010661",-74.767063,39.761771
"247061798010661",-74.805376,39.69514
"247061736010661",-75.012248,39.872919
"247061690010661",-75.057001,39.791817
"247061689010661",-74.910928,39.76931
"247061735010661",-74.992791,39.920592
"247061853010661",-74.934955,39.714459
"247061713010661",-74.834425,39.094139
"247061842010661",-74.748454,39.146862
"247061840010661",-74.672573,39.288281
"247061843010661",-74.875479,39.007751
"247061811010661",-74.820449,39.297802
"247061841010661",-74.818246,39.264431
"247061743010661",-75.224419,39.485646
"247061744010661",-75.319075,39.428363
"247061770010661",-75.087206,39.431334
"247061812010661",-75.135821,39.349093
"247061772010661",-75.163329,39.331011
"247061771010661",-75.128163,39.414034
"247061767010661",-74.96332,39.401003
"247061773010661",-75.061743,39.224715
"247061768010661",-75.071515,39.486285
"247061807010661",-74.149878,40.72873
"247061775010661",-74.251015,40.757403
"247061776010661",-74.326434,40.732162
"247061808010661",-74.246548,40.785732
"247061704010661",-75.25001,39.817445
"247061738010661",-75.124027,39.729679
"247061800010661",-75.024573,39.636264
"247061740010661",-75.27208,39.720217
"247061766010661",-75.032924,39.579228
"247061737010661",-75.172633,39.859748
"247061732010661",-74.918151,40.536011
"247061730010661",-74.911359,40.709775
"247061759010661",-74.789283,40.518072
"247061734010661",-75.092067,40.582722
"247061764010661",-74.873266,40.41419
"247061760010661",-74.923106,40.624095
"247061758010661",-74.721941,40.60537
"247061733010661",-74.988872,40.469217
"247061727010661",-74.83589,40.706862
"247061761010661",-74.818911,40.459068
"247061762010661",-74.691754,40.350594
"247061787010661",-74.582351,40.279393
"247061788010661",-74.629655,40.203993
"247061763010661",-74.750114,40.303222
"247061778010661",-74.238572,40.563834
"247061784010661",-74.565708,40.353691
"247061779010661",-74.274016,40.513533
"247061708010661",-74.420652,40.581328
"247061786010661",-74.546863,40.320151
