OBJECTID,CN,DESIGNATIO
1,145006851010661.000000000000000,NJ Pinelands Comprehensive Management Plan
2,145007111010661.000000000000000,NJ Pinelands Comprehensive Management Plan
3,145006907010661.000000000000000,NJ Pinelands Comprehensive Management Plan
4,145007105010661.000000000000000,NJ Pinelands Comprehensive Management Plan
5,145006903010661.000000000000000,NJ Pinelands Comprehensive Management Plan
6,145006905010661.000000000000000,NJ Pinelands Comprehensive Management Plan
7,145006901010661.000000000000000,NJ Pinelands Comprehensive Management Plan
8,145006845010661.000000000000000,NJ Pinelands Comprehensive Management Plan
9,145006855010661.000000000000000,NJ Pinelands Comprehensive Management Plan
10,145006809010661.000000000000000,NJ Pinelands Comprehensive Management Plan
11,145006977010661.000000000000000,NJ Pinelands Comprehensive Management Plan
12,145007109010661.000000000000000,NJ Pinelands Comprehensive Management Plan
13,145007145010661.000000000000000,NJ Pinelands Comprehensive Management Plan
14,145007137010661.000000000000000,NJ Pinelands Comprehensive Management Plan
15,145006895010661.000000000000000,NJ Pinelands Comprehensive Management Plan
16,145006897010661.000000000000000,NJ Pinelands Comprehensive Management Plan
17,145006899010661.000000000000000,NJ Pinelands Comprehensive Management Plan
18,145006837010661.000000000000000,NJ Pinelands Comprehensive Management Plan
19,145006847010661.000000000000000,NJ Pinelands Comprehensive Management Plan
20,145006979010661.000000000000000,NJ Pinelands Comprehensive Management Plan
21,145007113010661.000000000000000,NJ Pinelands Comprehensive Management Plan
22,145006861010661.000000000000000,NJ Pinelands Comprehensive Management Plan
23,145006911010661.000000000000000,NJ Pinelands Comprehensive Management Plan
24,145006917010661.000000000000000,NJ Pinelands Comprehensive Management Plan
25,145006915010661.000000000000000,NJ Pinelands Comprehensive Management Plan
26,145006913010661.000000000000000,NJ Pinelands Comprehensive Management Plan
27,145006909010661.000000000000000,NJ Pinelands Comprehensive Management Plan
28,145006989010661.000000000000000,NJ Pinelands Comprehensive Management Plan
29,145007123010661.000000000000000,NJ Pinelands Comprehensive Management Plan
30,145006835010661.000000000000000,NJ Pinelands Comprehensive Management Plan
31,145006841010661.000000000000000,NJ Pinelands Comprehensive Management Plan
32,145006827010661.000000000000000,NJ Pinelands Comprehensive Management Plan
33,145006839010661.000000000000000,NJ Pinelands Comprehensive Management Plan
34,145006889010661.000000000000000,NJ Pinelands Comprehensive Management Plan
35,145006831010661.000000000000000,NJ Pinelands Comprehensive Management Plan
36,145006825010661.000000000000000,NJ Pinelands Comprehensive Management Plan
37,145006833010661.000000000000000,NJ Pinelands Comprehensive Management Plan
38,145006891010661.000000000000000,NJ Pinelands Comprehensive Management Plan
39,145006893010661.000000000000000,NJ Pinelands Comprehensive Management Plan
40,145006883010661.000000000000000,NJ Pinelands Comprehensive Management Plan
41,145006823010661.000000000000000,NJ Pinelands Comprehensive Management Plan
42,145006805010661.000000000000000,NJ Pinelands Comprehensive Management Plan
43,145006843010661.000000000000000,NJ Pinelands Comprehensive Management Plan
44,145006807010661.000000000000000,NJ Pinelands Comprehensive Management Plan
45,168988719010661.000000000000000,NJ Pinelands Comprehensive Management Plan
46,168988637010661.000000000000000,NJ Pinelands Comprehensive Management Plan
47,168988711010661.000000000000000,NJ Pinelands Comprehensive Management Plan
48,168988715010661.000000000000000,NJ Pinelands Comprehensive Management Plan
49,168988713010661.000000000000000,NJ Pinelands Comprehensive Management Plan
50,168988723010661.000000000000000,NJ Pinelands Comprehensive Management Plan
51,168988727010661.000000000000000,NJ Pinelands Comprehensive Management Plan
52,168988717010661.000000000000000,NJ Pinelands Comprehensive Management Plan
53,168988791010661.000000000000000,NJ Pinelands Comprehensive Management Plan
54,168988639010661.000000000000000,NJ Pinelands Comprehensive Management Plan
55,168988705010661.000000000000000,NJ Pinelands Comprehensive Management Plan
56,168988943010661.000000000000000,NJ Pinelands Comprehensive Management Plan
57,168988695010661.000000000000000,NJ Pinelands Comprehensive Management Plan
58,168988641010661.000000000000000,NJ Pinelands Comprehensive Management Plan
59,168988699010661.000000000000000,NJ Pinelands Comprehensive Management Plan
60,168988703010661.000000000000000,NJ Pinelands Comprehensive Management Plan
61,168988701010661.000000000000000,NJ Pinelands Comprehensive Management Plan
62,168988941010661.000000000000000,NJ Pinelands Comprehensive Management Plan
63,168988783010661.000000000000000,NJ Pinelands Comprehensive Management Plan
64,168988709010661.000000000000000,NJ Pinelands Comprehensive Management Plan
65,168988697010661.000000000000000,NJ Pinelands Comprehensive Management Plan
66,168988707010661.000000000000000,NJ Pinelands Comprehensive Management Plan
67,168988787010661.000000000000000,NJ Pinelands Comprehensive Management Plan
