"CN","LON","LAT"
"145006851010661",-74.543562,39.421272
"145007111010661",-74.772554,39.58359
"145006907010661",-74.812317,39.52257
"145007105010661",-74.604885,39.571684
"145006903010661",-74.677552,39.492178
"145006849010661",-74.494012,39.490813
"145007107010661",-74.573226,39.346581
"145006905010661",-74.736119,39.421954
"145006901010661",-74.738539,39.665149
"145006845010661",-74.35376,39.490612
"145006855010661",-74.748478,39.367843
"145006809010661",-74.390225,39.412691
"145006925010661",-74.109198,40.912
"145007141010661",-74.241622,41.006363
"145006867010661",-73.977417,40.849362
"145006865010661",-73.929312,40.93524
"145006919010661",-74.039136,41.050923
"145007139010661",-74.043581,40.981124
"145006921010661",-74.183951,41.070107
"145006923010661",-74.120673,40.965655
"145006863010661",-73.916903,40.987417
"145006977010661",-74.818242,39.837284
"145006971010661",-74.826154,40.055535
"145006975010661",-74.899024,39.915909
"145007109010661",-74.602902,39.900458
"145007145010661",-74.721068,39.960536
"145006963010661",-74.616419,40.108498
"145006973010661",-74.883982,39.982018
"145006969010661",-74.661603,40.054725
"145006967010661",-74.678585,40.10079
"145007121010661",-74.753377,39.924567
"145007137010661",-74.499853,39.712014
"145006895010661",-74.561777,39.93877
"145006897010661",-74.593992,39.648309
"145006899010661",-74.696545,39.752539
"145006837010661",-74.489922,39.801916
"145006847010661",-74.443549,39.581285
"145006981010661",-74.974078,39.825611
"145007027010661",-75.064813,39.935154
"145006983010661",-75.021027,39.585383
"145006979010661",-74.865084,39.777223
"145007113010661",-74.816436,39.282992
"145006859010661",-74.780609,39.053725
"145006861010661",-74.883293,39.123447
"145006911010661",-74.814569,39.218159
"145006853010661",-74.60775,39.262175
"145007135010661",-74.704818,39.118634
"145006857010661",-74.68673,39.196297
"145006991010661",-74.985872,39.502771
"145006917010661",-74.975114,39.23388
"145006999010661",-75.088036,39.38968
"145007003010661",-75.220703,39.400779
"145006997010661",-75.211683,39.477929
"145007001010661",-75.119485,39.295591
"145006995010661",-75.036988,39.460872
"145006915010661",-74.94403,39.316509
"145006913010661",-74.917174,39.368511
"145006909010661",-74.880438,39.422857
"145007147010661",-75.157021,39.238396
"145007005010661",-75.279086,39.307363
"145006927010661",-74.172283,40.837894
"145007115010661",-74.216318,40.785006
"145006933010661",-74.363925,40.797743
"145006993010661",-75.095544,39.628017
"145006987010661",-75.053406,39.709222
"145007087010661",-75.354736,39.793927
"145006989010661",-74.927411,39.612215
"145007031010661",-75.228079,39.713628
"145007123010661",-74.935871,39.652217
"145007029010661",-75.146782,39.784226
"145006985010661",-75.028827,39.74245
"145006869010661",-74.043777,40.757882
"145006871010661",-74.079052,40.683593
"145007085010661",-75.048561,40.503196
"145007133010661",-74.948327,40.685371
"145007077010661",-74.882318,40.509674
"145007019010661",-74.847155,40.603039
"145007075010661",-75.015697,40.635513
"145007025010661",-74.975208,40.40636
"145007069010661",-74.787753,40.673999
"145007079010661",-74.944248,40.446356
"145007081010661",-75.046661,40.554605
"145007021010661",-74.777273,40.462739
"145006957010661",-74.540168,40.249917
"145007023010661",-74.838081,40.375994
"145006955010661",-74.658356,40.358431
"145006959010661",-74.582512,40.196236
"145006961010661",-74.72063,40.279812
"145006965010661",-74.718592,40.197404
"145006941010661",-74.360881,40.562336
"145006877010661",-74.267941,40.405122
"145006953010661",-74.504319,40.342155
"145006949010661",-74.427585,40.398264
"145007117010661",-74.403617,40.530351
"145006947010661",-74.416747,40.492392
"145006813010661",-74.021152,40.237621
"145006815010661",-74.063179,40.142078
"145006817010661",-74.197217,40.258593
"145006873010661",-74.117816,40.38491
"145006887010661",-74.413738,40.204217
"145006811010661",-74.000915,40.286616
"145006885010661",-74.351511,40.246982
"145006875010661",-74.182407,40.313563
"145006879010661",-74.300891,40.332036
"145006881010661",-74.23446,40.169693
"145007129010661",-74.703315,40.808627
"145007067010661",-74.762044,40.743048
"145007055010661",-74.658965,40.902142
"145007127010661",-74.54377,40.804549
"145006931010661",-74.34483,40.883372
"145007013010661",-74.492564,40.87265
"145006939010661",-74.419996,40.71829
"145007053010661",-74.598924,40.973768
"145006835010661",-74.337798,39.712403
"145006819010661",-74.107383,40.08236
"145006841010661",-74.374074,39.64451
"145006827010661",-74.267063,39.686109
"145006839010661",-74.303709,39.694347
"145006889010661",-74.455335,40.119673
"145006831010661",-74.203849,39.685934
"145006825010661",-74.331851,40.009171
"145006833010661",-74.304135,39.773715
"145006891010661",-74.382393,39.941654
"145006893010661",-74.419044,39.879992
"145006821010661",-74.201371,40.003392
"145006883010661",-74.310553,40.091283
"145006823010661",-74.240713,39.938581
"145006805010661",-74.12021,39.846938
"145006829010661",-74.148489,39.762533
"145006843010661",-74.290032,39.530541
"145006807010661",-74.248603,39.622024
"145007011010661",-74.408507,41.040742
"145007007010661",-74.308373,41.147961
"145006929010661",-74.266945,40.926527
"145007009010661",-74.353117,41.114568
"145007089010661",-75.40779,39.664317
"145007035010661",-75.304546,39.554402
"145007125010661",-75.142085,39.537553
